Date,Symbol,Close
2020-03-09 20:13:41.292846,BTC,40000.0
2020-03-10 20:13:41.292846,BTC,39998.40416042548
2020-03-11 20:13:41.292846,BTC,40002.299749813435
2020-03-12 20:13:41.292846,BTC,40003.26007592752
2020-03-13 20:13:41.292846,BTC,40004.562031617235
2020-03-16 20:13:41.292846,BTC,40004.232913041014
2020-03-17 20:13:41.292846,BTC,40000.25542184922
2020-03-18 20:13:41.292846,BTC,39997.74247802207
2020-03-19 20:13:41.292846,BTC,39998.3341229657
2020-03-20 20:13:41.292846,BTC,39999.52945213316
2020-03-23 20:13:41.292846,BTC,39996.78225341882
2020-03-24 20:13:41.292846,BTC,39998.035983685186
2020-03-25 20:13:41.292846,BTC,39997.84120353171
2020-03-26 20:13:41.292846,BTC,39994.94280527809
2020-03-27 20:13:41.292846,BTC,39996.95957641392
2020-03-30 20:13:41.292846,BTC,39998.10814792895
2020-03-31 20:13:41.292846,BTC,39999.970838376146
2020-04-01 20:13:41.292846,BTC,40004.65397710278
2020-04-02 20:13:41.292846,BTC,40005.16498773701
2020-04-03 20:13:41.292846,BTC,40005.82114423797
2020-04-06 20:13:41.292846,BTC,40007.32999058806
2020-04-07 20:13:41.292846,BTC,40007.15143846409
2020-04-08 20:13:41.292846,BTC,40007.366345459945
2020-04-09 20:13:41.292846,BTC,40008.697118182885
2020-04-10 20:13:41.292846,BTC,40010.42978770674
2020-04-13 20:13:41.292846,BTC,40010.18219080608
2020-04-14 20:13:41.292846,BTC,40014.732049802275
2020-04-15 20:13:41.292846,BTC,40015.9979489022
2020-04-16 20:13:41.292846,BTC,40017.11974570314
2020-04-17 20:13:41.292846,BTC,40016.83065423874
2020-04-20 20:13:41.292846,BTC,40017.42784090877
2020-04-21 20:13:41.292846,BTC,40016.313475327384
2020-04-22 20:13:41.292846,BTC,40013.21740075266
2020-04-23 20:13:41.292846,BTC,40011.33211967892
2020-04-24 20:13:41.292846,BTC,40011.87286421491
2020-04-27 20:13:41.292846,BTC,40012.048856921974
2020-04-28 20:13:41.292846,BTC,40014.86695957487
2020-04-29 20:13:41.292846,BTC,40012.64041990667
2020-04-30 20:13:41.292846,BTC,40013.59994464894
2020-05-01 20:13:41.292846,BTC,40013.25686012373
2020-05-04 20:13:41.292846,BTC,40010.66502795103
2020-05-05 20:13:41.292846,BTC,40006.253017937364
2020-05-06 20:13:41.292846,BTC,40006.48988782299
2020-05-07 20:13:41.292846,BTC,40006.897532911156
2020-05-08 20:13:41.292846,BTC,40003.16921954927
2020-05-11 20:13:41.292846,BTC,40000.45795405522
2020-05-12 20:13:41.292846,BTC,40000.08622704289
2020-05-13 20:13:41.292846,BTC,40000.85749401059
2020-05-14 20:13:41.292846,BTC,39998.52934833634
2020-05-15 20:13:41.292846,BTC,39996.81022936254
2020-05-18 20:13:41.292846,BTC,39995.9666918977
2020-05-19 20:13:41.292846,BTC,39994.0484477183
2020-05-20 20:13:41.292846,BTC,39994.529305874596
2020-05-21 20:13:41.292846,BTC,39994.0339727151
2020-05-22 20:13:41.292846,BTC,39995.81386800991
2020-05-25 20:13:41.292846,BTC,39998.08687302142
2020-05-26 20:13:41.292846,BTC,39997.95285046624
2020-05-27 20:13:41.292846,BTC,39998.45093675174
2020-05-28 20:13:41.292846,BTC,39999.53114731001
2020-05-29 20:13:41.292846,BTC,39997.38683976719
2020-06-01 20:13:41.292846,BTC,39994.93211546453
2020-06-02 20:13:41.292846,BTC,39994.242008795736
2020-06-03 20:13:41.292846,BTC,39994.66395201501
2020-06-04 20:13:41.292846,BTC,39996.60117364754
2020-06-05 20:13:41.292846,BTC,39994.26190780092
2020-06-08 20:13:41.292846,BTC,39995.077569947665
2020-06-09 20:13:41.292846,BTC,39993.50734970709
2020-06-10 20:13:41.292846,BTC,39991.603594392414
2020-06-11 20:13:41.292846,BTC,39990.418566214896
2020-06-12 20:13:41.292846,BTC,39990.234528451
2020-06-15 20:13:41.292846,BTC,39989.947714120965
2020-06-16 20:13:41.292846,BTC,39988.27485525081
2020-06-17 20:13:41.292846,BTC,39988.424306852845
2020-06-18 20:13:41.292846,BTC,39991.63483319534
2020-06-19 20:13:41.292846,BTC,39989.79610790809
